,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,Power Supply,Seat Storage,Recommended,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Viewing Tv Screen,reviews
10,Economy Class,Boeing 787,3x3x3,January 2020,Couple Leisure,,,,,,3.0,3.0,no,3.0,2.0,1.0,3.0,1.0,✅ Trip Verified |  I upgraded to the front emergency exit seats so legroom was not a problem on the Boeing 787. But these seats are narrow and most uncomfortable.  Is this a ploy to make us upgrade to premium economy? I will not use BA next time.
11,Business Class,Boeing 777,2x4x2,January 2020,Leisure,1.0,3.0,1.0,1.0,1.0,,1.0,no,,,,,,"Not Verified |  The worst business seat I’ve experienced to date. Seat was too short, my seat did not go flat and you have to step over the feet of the passenger next to you to get out also no USB port to charge my phone. I had to pay £180 to guarantee to be seated next to my partner which I’ve never had to with other airlines in business. Never again BA."
12,Business Class,Boeing 777,2x4x2,December 2019,Leisure,1.0,1.0,1.0,1.0,1.0,,,no,,,,,,"✅ Trip Verified |  Boeing 777 in Club World business class. We were a party of 4, 2 Adults and 2 children aged 6yrs and 10yrs. We had 1 window seat and the seat next to it, which felt claustrophobic. We also had 2 middle seats and you are sitted making eye contact with total stranger.  Yes you can shut the screen but if cabin crew having a conversation you have to put it up and down constantly.  As the 2 middle seats in the 4 middle seat configuration were together with no real screen. It was an 8 hour flight and  will not fly with British Airways again. Unfortunately it is so difficult to select seats especially booking outside the UK. Main issue is privacy!"
13,Economy Class,Boeing 747-400,3x4x3,November 2019,Business,,,,,,,1.0,no,1.0,1.0,1.0,1.0,,"✅ Trip Verified |  I had the misfortune of encountering these seats on a flight from London to Boston. Unfortunately, I am over six feet tall, and the larger gentleman in front of me decided to recline his seat fully and extend the head rest. There was no way for me to remain in the seat without pain. I ended up having a panic attack from the claustrophobia, and opted to stand for most of the flight. Flight attendants and staff were extremely kind, but this seat was not fit for purpose."
14,Economy Class,A320,3x3,October 2019,Business,,,,,,,1.0,no,1.0,1.0,1.0,1.0,,"✅ Trip Verified |  The new A320 seats were unacceptable. Very hard and slim, no padded area, no head rest, no back support. The angle is quite strange, with a small seat base and I spent the journey in pain and in cramped conditions. May be tolerable for a very short flight but having to seat there for more than two hours is torture. There are virtually no arm rests."
15,Economy Class,A321Neo,3x3,June 2019,Business,,,,,,,2.0,no,3.0,1.0,2.0,2.0,,"✅ Trip Verified |  British Airways have fitted out their A321 Neo with 15 rows of regular 3x3 seats at the front and then the rest of the seats are a new slim line design, similar to easyjet. The seat pitch is around 31 inch which is fine for short haul, however the new seat does not recline and features thin cushions for the seat and back rest. There is no lumber support! The seat work great for a flight that is an hour long, Kind of OK for 2 hours and poor for up to 4 hours long."
16,Economy Class,Boeing 787-9,3x3x3,October 2018,Family Leisure,,,,,,3.0,3.0,no,2.0,3.0,1.0,2.0,4.0,"✅ Trip Verified |  I was very disappointed with the economy seats on the Boeing 787-9, I was in seat 33C, having not flown long haul for several years, the last time being on Malaysia 747, I felt for a flight of 13 hours the seat pitch and width were totally inadequate. 31inch seat pitch that seemed much tighter and 17.5 inch width.  Luckily my seat did not have the IFE box under the seat in front as this robs passengers of further legroom. The recline was ok on the seat and the adjustable headrest could be quite comfortable if there was just another 2 inches of legroom. When the seat in front is reclined however the IFE screen is in your face. Choice of IFE was however very good. The headphone socket in the arm of the seat is very easily damaged due to the location and care is needed if the headphones are left plugged in when leaving your seat. I feel on any long haul flight the passengers in the window and center seat should be able to get out to use the bathroom without disturbing the other passengers in the row. Getting up and moving around the economy cabin is a bit tight too as the aisles are very narrow."
17,Economy Class,Boeing 787,3x3x3,May 2019,Couple Leisure,,,,,,,1.0,no,1.0,2.0,2.0,2.0,2.0,"Not Verified |  Had booked with Japan Airlines unaware that our return flight was actually a codeshare with BA. On the outward JAL flight, the economy cabin seat pitch was decent so plenty of leg room. Also wherever they put the video boxes it wasn't under the seats so plenty of room to move your legs about under the seat. The return flight on BA (787) was a different story. The seat pitch is poor so my knees were practically touching the seat in front. Also, the boxes for the video are under a lot of the seats so a third of my meagre legroom under my seat was taken up by the video box. This makes for an extremely uncomfortable 12 hour flight and impossible to sleep as my legs jammed under the seat prevented me from reclining properly. JAL lets you book your seat when you make the booking. BA forces you to book no sooner than 24 hours before the flight (unless you pay them more money)."
18,Business Class,Boeing 787,2x3x2,May 2019,Leisure,4.0,5.0,5.0,5.0,2.0,5.0,5.0,yes,,,,,,"✅ Trip Verified |  Seat 6D, isle seat. Seat was very comfortable with ample leg room while seated or laid flat. Several storage bins available so you could store your personal items. The controls were easy to use and understand. The drawback to this isle seat is the lack of privacy. In BA 787 layout you get one or the other but not both- Privacy or direct isle access. So if this was the overnight flight I wouldn't want such open access to the isle as it would be harder to sleep as people passed by. If you are going to plan to sleep the long flight you might want a window or center seat as they are closed to foot traffic. The other odd thing about the BA layout is you are looking face to face with the person next to you, not a big deal in our case as I was seated next to my travel partner. I will say that like other 787 I've flown, the interior is looking worn and a bit beat up with obvious damage. Overall good seat, good crew, and good flight."
19,Premium Economy,Boeing 777-300,2x4x2,March 2019,Couple Leisure,,,,,,1.0,1.0,no,1.0,1.0,1.0,1.0,1.0,"✅ Trip Verified |  Terrible seats in Premium economy, shabby, screen so dark you cannot see it, felt packed in. Not much different to economy. I felt it was a waste of money."
20,Economy Class,A320,3x3,April 2019,Family Leisure,,,,,,,2.0,no,1.0,1.0,1.0,2.0,2.0,"✅ Trip Verified |  Genuinely shocked at the legroom. It's not what I expected and I was disappointed to find my knees jammed up against the seat in front - and I'm  5ft 10ins.  I like to think of BA as being a cut above the budget airlines for comfort and I'd be prepared to pay a little more for that. But, sadly, they seem to be going the same as everyone else and turning flying into a genuine hassle! Cabin staff were great."
21,Economy Class,A319,3x3,April 2019,Solo Leisure,,,,,,,4.0,yes,2.0,3.0,2.0,2.0,4.0,"✅ Trip Verified |  A319 from London Heathrow to Edinburgh. Early morning flight. Sat right by the back, seat 23A. Poor legroom but bearable for a flight of only 55 mins. Food was available to buy onboard. Overall good seat amenities. A coat hook and adjustable head rest included."
22,Economy Class,A321,3x3,March 2019,Solo Leisure,,,,,,,4.0,yes,4.0,4.0,5.0,4.0,,✅ Trip Verified |  One of the most comfortable seats on a European airline. Nothing to complain about for a short hall flight. You have seat space and good legroom. I’m 1.82mt tall and I find it very comfortable.
23,Economy Class,A320,3x3,March 2019,Business,,,,,,,1.0,yes,5.0,5.0,5.0,5.0,,"✅ Trip Verified |  Another comfortable flight by British airways. Crew were very friendly. Seat 11F an exit row window seat. Extra leg room. Wider seat as the arm rest was on the window for emergency exit. They don't serve free on-board refreshments, but the items on sale was a good selection and easily transacted. "
24,Economy Class,A320,3x3,March 2019,Business,,,,,,,5.0,yes,5.0,5.0,5.0,5.0,,"✅ Trip Verified |  This flight was exceptionally busy. But the flight was smooth both take off and during flight.  12F Exit row and window seat. Very good legroom, there was arm rest missing by the window that made the seat feel wider and a lot more comfortable. All in all a very good flight. "
25,Business Class,Boeing 777,2x4x2,March 2019,Business,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,,,,,,✅ Trip Verified |  Just got off a Boeing 777 from Madrid to London Heathrow. Very good flight. I was able to travel business class this time. The service was excellent. Seat 15A a Window seat. Very good view.  Good storage features. The power socket was well placed. Foot rest was excellent and very comfortable. British Airways delivered another excellent in-flight service. Baggage handling at Heathrow Terminal 5 was excellent. My luggage was on the baggage carousel by the time I got through passport control.
26,Business Class,Boeing 777,2-4-2,March 2019,Leisure,1.0,1.0,1.0,1.0,1.0,3.0,1.0,no,,,,,,"✅ Trip Verified |  The Boeing 777 G-YMMR (9 yrs old) (BA2041) and G-YMMD (19 yrs old) (BA2040) we flew on between Gatwick and Cape Town have a seat configuration of 2-4-2 in Business Class. The seats are not to the latest standards in the industry. Seats feel tight and look tired and forget privacy. Passengers have no privacy except you have the window side seats as the dividers only provide little sense of privacy. But stepping over a passenger on the aisle seat is also not nice when the seat is flat. The IFE system is old with touch screen with poor quality screens which need to pressed really hard to make a selection. Further the content is not much or varied. The plus of flying BA Club World is just more legroom, not sitting in World Traveller or Premium Economy and more luggage allowance. BA Wifi is now also available. Otherwise I think BA Club World is  overpriced for what you get. It is not an amazing experience. The staff was attentive on the way to CPT but not at all on the way back to LGW. Unfortunately BA staff has quite often that attitude that you are a burden to them like ""what do you want from us"". That is not acceptable. The food was ok and nothing special and does not rectify flying Club World."
27,Premium Economy,Boeing 777-200,2x4x2,January 2019,Business,,,,,,1.0,1.0,no,5.0,2.0,2.0,3.0,1.0,"✅ Trip Verified |  Boeing 777-200. Bulkhead seats so lots of legroom but no items allowed on floor; stowage baskets are never sufficient for the blanket and pillow provided. Planes now looking and feeling very old and shabby. Seat comfortable enough with lumbar support but could do with more recline and footrest extension; width not great as kept bumping VOD remote and I'm fairly slim. VOD itself rubbish, extremely limited selection, low resolution, screen had gridlines on it. VOD stopped working during outbound flight and could not be reset. No USB power in seat. Cabin staff handed round customer service forms but not clear whether anything is forthcoming."
28,Economy Class,Boeing 777,3x3x3,December 2018,Couple Leisure,,,,,,,4.0,no,1.0,4.0,4.0,4.0,2.0,"✅ Trip Verified |  I booked for my wife and myself to fly to Grand Cayman with BA in November 2018. The schedule was Manchester to Heathrow then Heathrow to Grand Cayman and return flights 14 days later so 8 seats in total. At the time of booking I checked emergency exit seats were available on all flights and all seats at emergency exits were available. I am 6’2” and anyone 6’ or over will know the discomfort experienced in a normal pitch seat. BA had prices on all seats so you could reserve the seat you wanted, the seats at the emergency exits where you could see there was more space for your legs were 3 times the price of a normal seat. I paid additional fees for 8 seats at emergency exits. I receive emails from BA in July 2018 to say they had changed my seating allocation but I presumed they had just moved us to another exit seat on a like for like basis. If not I was expecting a refund, the refund never came, so I remained confident we were still seated in a like for like basis. Out of 8 emergency exits seats I paid for, we were only seated in 3. Upon my return I requested a refund from BA for 5 seats I’d paid for at a premium rate, below is their response. Thanks for getting in touch with us about your flight from Manchester on 22 November. You’re clearly disappointed with your seat because it didn’t have as much leg room as you’d expected. I completely understand why you’re feeling let down. I realise you feel you didn't get the seats you'd paid for. The maps you can see on ba.com are representative of the seats on board our flights. We can’t guarantee your seat will be exactly as shown on our website, as the configuration can vary depending on the aircraft you’re travelling on. I’m afraid we can’t promise you’ll be able to sit in a particular seat on our aircraft and we do advise this in our General Conditions of Carriage, which you accept when you make your booking. This means I’m unable to offer you a refund on this occasion. I know this isn’t the answer you were hoping for and I’m sorry. I can see why you’re frustrated we didn’t meet your expectations and we’re grateful you've taken the time to let us know how you’re feeling. Thanks again for giving us the opportunity to respond to your concerns. We appreciate your support as a Blue member of our Executive Club. I hope we can welcome you on board again soon. Please feel free to contact me directly using the blue link below if I can help you with anything else. I emailed them back stating I’d paid a premium for extra leg room seats by emergency exits and I expected a refund and this was their reply. I'd like to inform you that we do inform passengers that the seat map is for guidance only and not true to scale. Extra space between rows does not indicate extra legroom. However, any exit row seat may have extra leg room, but we don't sell these seats as extra leg room seats on ba.com. The leg room may vary as per the aircraft seating configuration. I do appreciate your reasons for asking, I'm afraid we cannot refund you the prepaid seating charge. So basically, BA believe if they do not sell seats as extra legroom seats, they can charge you a premium for them, then move you to a seat you’d pay less for and not refund you the difference. The scale argument does not stand up to scrutiny as the seat pitch at emergency exits are more than standard pitch."
29,Economy Class,Boeing 787,3x3x3,December 2018,Solo Leisure,,,,,,3.0,3.0,no,3.0,3.0,2.0,3.0,1.0,"✅ Trip Verified |  This is my first time flying with BA to Kuala Lumpur on the Boeing 787. Was very excited for this trip as BA has made a come back to fly to Malaysia after stopping the service for many years. I paid to seat at the first row to have a longer leg room. I regretted and disappointed for the choice. I made a complain to the crew that my seat (30B) has sunk and I felt uncomfortable to be sitting on this seat. Crew offered me an extra pillow to seat on it, which didn't help either. The tv screen on 30B was also not working. I would recommend to totally avoid sitting on all row 30 as the seats are so close to the lavatories that you can hear toilets at all time.  Crews were friendly and helpful. No fault with that."
30,Economy Class,A319,3x3,December 2018,Business,,,,,,1.0,1.0,no,1.0,1.0,1.0,2.0,,✅ Trip Verified |  I am a frequent flier. I have been Gold with British Airways for years. The seats on the new planes on European flights are the smallest and most uncomfortable I have ever travelled on. I heard they were going to add more rows but as I sat I couldn't believe how little leg rooms the rows have been reduced to. I could barely sit and fit.  The worst thing is that this plane only has 1 exit row with extra leg room for a total of 6 seats for the whole plane.  in Europe.
31,Premium Economy,Boeing 747-400,2x4x2,October 2018,Couple Leisure,,,,,,,3.0,no,4.0,3.0,2.0,3.0,1.0,"Not Verified |  I'd read up on BA premium economy on the BA website and it seemed rather good, sadly this is where things started to go wrong. Flying on a clearly aging 747 from Heathrow to Miami didn't start things off too well, the seat was very narrow for premium economy, noticeably narrower than Virgin, legroom was fine though. We were greeted with a glass of champagne which was a nice touch, oddly on the return Orlando to Gatwick run we had a choice of orange juice or water, disappointing to say the least. As far as perks go that was it. Food ran out so we ended up with economy food, nice but not fantastic. The back seat TV was old fashioned, small in size compared to other airlines and had a very limited choice, all in all both flights were very disappointing. One other thing we found odd was no toilet in the premium economy area of the 777 from Orlando to Gatwick, we had to use economy class toilets some twenty rows behind us. For the money we paid we expected a lot better."
32,Premium Economy,Boeing 777-200,2x4x2,September 2018,Couple Leisure,,,,,,1.0,1.0,no,4.0,2.0,4.0,4.0,1.0,"✅ Trip Verified |  I travelled from Houston to London Heathrow in premium economy. The seat itself was quite comfortable, with a good seat pitch and a decent recline (we were in the back row so didn't need to worry about ruining someone else's journey by reclining into their faces). The seats had seen better days, and the whole cabin looked quite old and tatty. The screens on the back of the seats in front were tiny and quite difficult to see. In my case it was not functioning correctly anyway, but I'd brought my own entertainment so not really a problem. There was the - now usual - problem of people bringing up to five bags onboard, some of which were large suitcases, so very little room in the overhead lockers for those who'd only brought on one bag. Since our bags fitted under the seat in front this was not an issue. The biggest problem was the meal service. There were theoretically two meal options but since we were at the back of the cabin we were left with the option nobody else wanted: they called it ""spinach and ricotta ravioli"", but it was an inedible slab of dried up pasta and dried up tomato ketchup. On the plus side for us, the first choice, ""Fillet of beef with broccolini"", was also barely edible. In my experience economy gets much better meals than premium economy on most airlines. If travelling premium economy on British Airways, where one of the options is inedible slops, those at the back of the cabin will effectively get no meal because the travellers at the front get first choice. If you're travelling from London you can choose your meal beforehand, which is useful. If you're travelling to London at the back of the cabin bring your own meal with you or you may end up going hungry."
33,Premium Economy,Boeing 777-200ER,2x4x2,June 2018,Family Leisure,,,,,,3.0,5.0,yes,5.0,5.0,4.0,3.0,3.0,"Not Verified |  I flew on British Airways from Gatwick to Barbados return last week. There was two different seats I flew on (Old and new) I didn't really like the old one but loved the new one. On the old seat, the screens were only the size of my hand and there was no power outlets - On the new seat, the screens were nice sized, there was plenty of power outlets and just a clean seat. I would recommend this airline to families - It is the perfect seat for kids as it has nice space with large blankets and big headphones."
34,Economy Class,A320,3x3,May 2018,Couple Leisure,,,,,,,3.0,no,3.0,3.0,3.0,3.0,,"✅ Trip Verified |  We flew from London to Prague on this aircraft after flying from Washington on a Boeing 787. Oddly enough, the A320 seemed to have better legroom than the 787. The A320 may have the newer ""slimline"" seats - I don't know how to tell exactly, but the looked thinner. I do know that they were extremely uncomfortable. The two hour flight was about all I could handle."
35,Economy Class,Boeing 787,3x3x3,May 2018,Couple Leisure,,,,,,,2.0,no,2.0,2.0,2.0,2.0,3.0,"✅ Trip Verified |  The seats were not terribly uncomfortable for economy, but while BA claims 31"" of legroom it seemed like less than that. I am 5'6"" and my wife is 5' 2"" and we were very close to the seats in front of us. The gentleman next to my wife was not more than average height and his knees were pressed up against the seat in front of him. The seats were also very narrow. I honestly didn't even attempt to doze there was no point."
36,Premium Economy,Boeing 747-400,2x4x2,April 2018,Couple Leisure,,,,,,1.0,2.0,no,4.0,1.0,2.0,3.0,1.0,"✅ Trip Verified |  Very old cabin and seat. Seat recline was very limited and foot rest was very flimsy. The control for the in flight entertainment is in the side of the seat so you regularly brush it just sitting in the seat which can turn the entertainment off or pause the video. The screen for the entertainment was amongst the smallest i have seen and much smaller than economy class on other aircraft types. The entertainment kept skipping and had to be reset just after take off which meant no entertainment access for 30 mins. The leg room pitch was pretty good. A lot of the blinds were broken in some way so a lot of light poured into the cabin and as this was an overnight 10 hr flight that was not idea. They need to refurbish these old 747s desperately. The seat power point in word traveller plus is the old empower connection. No one uses this connection type anymore. it needs to be changed. It's like having a car with a CD player. Would have been state of the art, 20 years ago. Will not be flying this aircraft type with BA again."
37,Economy Class,A380 / Boeing 747,3-4-3,March 2018,Couple Leisure,,,,,,3.0,2.0,no,1.0,1.0,1.0,1.0,3.0,"✅ Trip Verified |  My wife and I flew economy on British Airways long-haul, Heathrow to Miami return. We will never use BA for long-haul economy flights again or recommend others to do so. Although cabin staff were excellent, seat space (pitch and width) were awful, so much so that we dreaded the return flight (outbound, Airbus 380, February 18; inbound Boeing 747, March 18). Each of us is below average UK height so we hesitate to think about the likely discomfort for other passengers. When the seat in front was reclined, getting access to the aisle from a non-aisle seat (e.g. to use a toilet) needed contortions worthy of a circus performer on each flight.The seat reclining mechanism on my return flight was broken and added to my own already-cramped discomfort. Experience not to be repeated. Flights did depart and arrive on schedule"
38,Premium Economy,A380,2x3x2,March 2018,Business,,,,,,,1.0,no,2.0,1.0,1.0,2.0,2.0,There was no leg rest on my premium economy flight back from Heathrow to Singapore which makes resting on a long flight difficult. There was only a footer rest which is certainly not enough. The button for the seat adjustment/recliner was extremely hard to press. The other passenger seated beside me also made the same comment on the difficulty to get the seat to recline or be pushed back up due to the tightness of the button for the seat adjustment.
39,Economy Class,Boeing 777,3x4x3,December 2017,Solo Leisure,,,,,,,3.0,yes,4.0,4.0,4.0,3.0,4.0,✅ Trip Verified |  The one aspect of the flight I was not looking forward to was seat comfort. Perhaps it is my age (> than 60) but I have always had to use my pillow to pad my seat cushion on Jet's aircraft: cost-cutting by stealth? BA was a revelation.  BA's World Traveller seat in an elderly Boeing 777 was infinitely more comfortable than Jet Airways Boeing 777. Well done!
40,Premium Economy,Boeing 777,2x4x2,December 2017,Business,,,,,,1.0,1.0,yes,4.0,3.0,3.0,3.0,1.0,✅ Trip Verified |  Very old Boeing 777 with worn out seats and an inflight entertainment system from a bygone era - where you can see the lines across the screen. Compared to Premium on a 380 etc - this is a bad joke. Business class seemed to have been updated - but nothing else. Cannot understand how a company can take the same money for 2 vastly different experiences. Repairs had been made with duct tape. The aircraft was filthy - as soon as you looked anywhere behind the facade. 
41,Economy Class,Boeing 777-200,3x3x3,July 2017,Family Leisure,,,,,,,1.0,no,3.0,3.0,3.0,3.0,1.0,"❎ Not Verified |  On my trip from Gatwick to Kingston, in July 2017 the staff were nice but my problem was the seat. As I got into my seat, the headrest had fallen down and so had the rest of them on my row, and the flight attendants couldn't do anything about it. They couldn't fix it so I had to fly with a sore neck and a beam sticking into my spine. They claim there were no available spaces for an upgrade but as I went through the cabin the aircraft seemed about 72% full."
42,Economy Class,A320,3x3,December 2017,Family Leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,,"✅ Trip Verified |  I’m a previous top tier frequent flyer with BA now currently blue. Flew to Iceland with wife and daughter. As we made our way onto the plane (from near the front of the general boarding queue), my perfectly average not heavy not oversized bag (we also had checked baggage) was taken from me to be put in the hold. I don’t know why they selected me as they then allowed practically the rest of the plane to board with their bags. I didn’t have luggage locks - my wife had them and she had boarded in front of me - and when i got on board my wife became upset because her jacket with her wallet had been in my bag because we couldn’t carry everything. She told a surly stewardess with dark hair who couldn’t have cared less. My wife questioned why my bag was taken when people with more luggage than us we being let on and the plane wasn’t completely full and she just said they’re wasn’t enough locker space. Why penalise those who arrive early at the check in then?? We’ve had stuff stolen from hand luggage placed in the BA hold before - which we mentioned to zero interest from the staff. The surly woman then proceeded to bang into my wife throughout the flight as she marched her M&S laden trolley up and down, touting the expansive tat you can buy for much less on the ground. The payment system now means those on the aisle are stuck with someone’s rear end in their faces for much longer as purchases are made, plus trolleys left in the aisle while something is heated up in the galley and trotted back out. The bags that were placed in the hold appeared very last at the baggage claim, adding to our stress. Luckily the wallet was untouched. We fly business as a family numerous times to Australia each year and we never choose BA because of the generally rubbish service on short haul flights. I'd rather spend the big bucks where I can be guaranteed good service (Singapore etc). I really will now avoid BA and try some of the other carriers as there are too many poorly trained rude people working for BA."
43,Premium Economy,Boeing 777,2x4x2,December 2017,Couple Leisure,,,,,,1.0,1.0,no,5.0,4.0,4.0,4.0,1.0,"❎ Not Verified |  Good point, plenty of leg room. Entertainment dated screen not clear and flickering. No choice of meal on flight. If you are going to pay extra to pick your seat don't sit at the back of the cabin they will run out of food & you will get something that looks & tastes like a microwave re-heat with no apology or alternative. In a word don't waste your money by flying BA."
44,Economy Class,A320,3x3,December 2017,Couple Leisure,,,,,,,1.0,no,1.0,1.0,3.0,3.0,,"✅ Trip Verified |  Very restricted legroom in row 28 on the A320. Possibly the smallest amount of leg room I've experienced, certainly worse than all of BA's class rivals (low cost airlines) such as EasyJet or Flybe. In economy there is no service on board as such, just the option to buy overpriced M&S sandwiches. Will be doing my best to fly with other carriers going forward. No frills airline with premium prices."
45,Economy Class,A320,3x3,November 2017,Business,,,,,,,3.0,yes,5.0,5.0,5.0,5.0,,"✅ Trip Verified |  An A320 from Gatwick to Paphos. Fantastic, left early, service both friendly, professional and efficient. All leather seats, aircraft 15 years old but appeared new. Seats comfy, clean and spacious, more than good enough for the 4.45 hr flight. Was cheaper than all the budget carriers, more comfy,  good recline, good table all topped with impeccable BA service. "
46,Economy Class,A380,3x4x3,August 2017,Solo Leisure,,,,,,2.0,4.0,yes,4.0,3.0,4.0,4.0,3.0,"✅ Verified Review |  Hong Kong to London in A380. I flew in economy class which the seat is located in 22A. The seat is comfortable but you must have a pillow or else it will be a terrible flight. I'm 170 cm tall so the legroom and the seat is wide enough for me. For me, the seat recline isn't enough for a long haul flight unless you don't sleep. One thing to complain is that the usb port is a nightmare. Every time I plug my phone in it just keep stop charging, it annoyed my for the entire flight. Overall it's pretty good and I look forward for the next flight."
47,Economy Class,Boeing 747-400,3x4x3,October 2017,Couple Leisure,,,,,,,1.0,no,3.0,2.0,1.0,2.0,1.0,✅ Verified Review |  For a 12 hour flight the Boeing 747-400 seat width was really cramped and the sides of the seat pressed into your ribs. Thankfully I am not a large/tall person and had none sitting by me or I would have felt even more claustrophobic! Entertainment/tv screen is old fashioned and of very poor quality and lack of choice of new films/tv etc. Not cheap flights and better airlines / aircraft for cheaper prices out there!
