,Lounge Name,Airport,Type Of Lounge,Date Visit,Type Of Traveller,Comfort,Cleanliness,Bar & Beverages,Catering,Washrooms,Staff Service,Recommended,Wifi Connectivity,reviews
10,Galleries Lounge South,London Heathrow Airport,Business Class,December 2022,Business,3.0,3.0,2.0,4.0,4.0,4.0,no,4.0,✅ Trip Verified |  Only a few USB ports are working. Food offerings were better than before. Drink choices have been limited to minimalist. No more Zacapa rum or Woodford Reserve. Not even Jack Daniels if u don’t like Bulleit Bourbon. That includes onboard. Packed lounge with sun boiling anyone sitting in its way as there’s no window shading. Staff were working hard I felt given the amount of people. Bottled water removed. Shame as it was handy. Only tiny 250ml beer cans available. No Tiger or Amstel choices…
11,T5 Business,London Heathrow Airport,Business Class,November 2022,Business,1.0,1.0,,1.0,,,no,2.0,✅ Trip Verified |  Having paid BA over £7000 for our trip to Barbados we rather thought we might be able to get some breakfast before boarding. We tried a very overcrowded lounge soon after security and managed a small plate of baked beans. Toast and bacon were not on offer. A member of the lounge staff tipped us off that the business lounge in C satellite would be more comfortable so we went there. Much less crowded but the same lack of breakfast on offer.
12,T5 South / North Lounges,London Heathrow Airport,Business Class,December 2022,Business,5.0,5.0,3.0,5.0,5.0,5.0,yes,5.0,"✅ Trip Verified |  The food was surprisingly good. Back to self service breakfast and lunch. Plenty of drinks selection but sadly no more Gentleman Jack or Woodford Reserve. Also no Zacapa rum which is  disappointing. Bulleit bourbon is simply awful. For a Saturday afternoon, there was plenty of seats. Staff all very polite and friendly."
13,Club Lounge,London Heathrow Airport,Business Class,November 2022,Business,5.0,4.0,4.0,5.0,,5.0,yes,5.0,"✅ Trip Verified |  Others have reviewed this quite harshly. Our experience could not have been better. In fact this is one of the best lounges we have visited and we have been to many other business lounges. Its nearly up there with Istanbul and Singapore. Very well laid out, with plenty of space and places to sit/eat. The choice and variety of food was excellent. We arrived just at the breakfast/ lunch changeover. So, we had a pretty great choice!! This lounge is in total contrast to the Swiss Business lounge at Zurich which we visited the day before that was just pathetic.  A very good lounge."
14,Galleries T5,London Heathrow Airport,Business Class,September 2022,Business,1.0,4.0,2.0,3.0,4.0,5.0,no,4.0,"✅ Trip Verified |  Way too crowded with many people walking around looking for a place to sit. No champagne at the champagne bar (although a staff member did bring a tray of filled glasses after mentioning that passengers were walking off with the bottles!) BA used to have a display in the terminal showing how crowded each of the T5 lounges were, but that wasn't visible this time. Staff were trying valiantly, but the number of people was simply too much for them to do more than the bare minimum of clearing glasses and dishes. Next time I think I'll just have a glass of champagne and some nice oysters outside - even if I have to pay, it will definitely be more comfortable and less stressful."
15,Heathrow T5 South,London Heathrow Airport,Business Class,October 2022,Business,2.0,1.0,1.0,1.0,1.0,2.0,no,2.0,"✅ Trip Verified |  Awful experience. Overcrowded, inedible food, disgusting toilets. We left almost immediately and went to sit in the Terminal. BA should be ashamed of this facility."
16,Terminal 5,London Heathrow Airport,Business Class,June 2022,Business,5.0,5.0,4.0,5.0,,5.0,yes,4.0,"✅ Trip Verified |  The British Airways Lounge is excellent. I had a nice cream tea, though I avoided the tea and had strawberry Baileys instead, the scone was excellent the clotted cream great and the strawberry jam nice, after that I went through to the rest area where high-tech seats are available but I have a 20 minute limit, however since there were very few people waiting I just used another and another 20 minutes with no problem, Disadvantages of the BA lounge were that there were very few charging points available beside the seats in the rest area there was a charging point but elsewhere they were few and far between, The drink selection was good apart from a rather unusual absence of cognac Armagnac or brandy, however the strawberry Baileys and birthday cake Baileys along with a wide selection of other choices made up for the missing Brandy. The food was excellent. "
17,T5B Lounge,London Heathrow Airport,Business Class,June 2022,Business,5.0,5.0,5.0,3.0,4.0,5.0,yes,5.0,✅ Trip Verified |  Terminal 5B lounge is so much better than the T5A lounge. Nice and quiet. It is worth the train and walk back to the main terminal. The lounge at T5A is huge and quite impersonal.
18,,Chicago O'Hare Airport,Business Class,March 2022,Business,4.0,5.0,4.0,2.0,,5.0,yes,5.0,"Not Verified |  Not British Airways best. Very badly laid out lounge, limited facilities and no views. However, staff very nice. The terminal is being rebuilt so hopefully this will improve."
19,Galleries South T5,London Heathrow Airport,Business Class,March 2022,Business,3.0,3.0,5.0,1.0,,3.0,no,,"✅ Trip Verified |  Used on Wednesday 16 March before our flight to Barbados. Busy but could still find a comfortable seat, and a reasonable selection of drinks on offer. Coffee machines working this time (most were not November 2021), and very good coffee it was. Unfortunately and as I suspected in November 2021 the food offering has further declined: the hot offering was just a Bacon Roll only this time without even hash browns. A couple of nice pastries on offer. It is clear that BA are now using COVID as the excuse to downgrade their offerings and cost cut. What used to be a very nice lounge with a decent buffet breakfast selection has now gone for good, I fear."
20,Marco Polo Venice,Venice Marco Polo Airport,Business Class,March 2022,Business,4.0,4.0,3.0,3.0,4.0,3.0,yes,4.0,"✅ Trip Verified |  Well organised lounge. Light, airy and decent food. Food was pretty good and coffee was excellent as you'd expect in Italy. Not so sure it'd be the best for a long stop but great for short."
21,Terminal 5,London Heathrow Airport,Business Class,March 2022,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,2.0,✅ Trip Verified |  Possibly the worst lounge with the most miserable staff. Many people haven't flown for a long time and lounges methods have changed. Poor food. Rude staff and disgusting toilets.
22,Galleries South T5,London Heathrow Airport,Business Class,April 2022,Business,2.0,3.0,4.0,2.0,3.0,2.0,no,3.0,"✅ Trip Verified |  Nice views of the runway in one section but very crowded and thus uncomfortable. Good selection of drinks but their app system of ordering food (no buffet) means that when it gets delivered to your table means it is cold. Weird setup in there and certainly not conducive to a relaxed wait for your flight. I am sure that BA can do better, stressed passengers do not deal with the inevitable delayed flight as well as relaxed ones."
23,Geneva,Geneva Airport,Business Class,January 2022,Business,4.0,5.0,5.0,,,5.0,yes,,"Not Verified | The lounge has been refurbished since my last visit but difficult to see any major changes. However, very pleasant and fantastically helpful staff - full marks to them!"
24,T5 Galleries South,London Heathrow Airport,Business Class,November 2021,Business,4.0,3.0,5.0,2.0,,3.0,yes,,"✅ Trip Verified |  Used this Lounge on 5th November before our flight to Tenerife. Still a reasonably comfortable place to wait for your flight with a good selection of drinks. However, since COVID-19 the standard of the food offering has declined dramatically with just a Bacon Roll and Hash Browns as the main hot offering. Food also has to be ordered by a Lounge App and you will be served at your table. At least 2 of the coffee machines were not working and causing problems. No longer a real Premium offering - one can only hope that when COVID eventually dies down the lounge can return to its former decent buffet. But I'm not holding my breath - BA may just use this as an excuse to become the new ""normal"" lounge service."
25,,London Heathrow Airport,First Class,August 2021,,4.0,5.0,5.0,5.0,2.0,5.0,yes,4.0,"✅ Trip Verified |  This was the first time using this Terminal 5 lounge after recently becoming a British Airways Executive Club Gold Member. I was travelling on an Economy Hand Baggage only flight with a non status friend and he was allowed to enter as my guest. There isn't a huge difference between the Business and the First Class lounge. You still have the British Airways, NHS style Showers and Toilets. Furnishings that aren't too modern and the lack of that truly luxurious feel. But, There is an upgrade in the drinks variety. More premium brands of drinks. This visit was during Covid and so you had to order food and snacks by scanning a QR code, entering your table number and placing your order. BA lounges have never been truly luxurious, If you have one world status you are better off visiting the likes of Cathay Pacific whose bathrooms are beautifully designed, tiled and contain Aesop products. But if you want an English Breakfast for instance. BA is your best bet."
26,Club Lounge,Chicago O'Hare Airport,Business Class,March 2020,Business,4.0,5.0,,4.0,3.0,5.0,yes,4.0,"✅ Trip Verified |  I visited this lounge in March when travel reduced because of the virus. This lounge is used by Aer Lingus and other OneWorld Elites which make this lounge crowded, especially in the evening. The snack options in the lounge are decent and something you can work with. This lounge has no windows and very low ceilings which make it gloomy. Club Dining is a nice option and highly recommended, it's less crowded than the rest of the lounge because of restricted access and a good choice of hot food in response to BA's sleeper service."
27,Admirals Club,Rio De Janeiro Airport,Business Class,December 2019,Business,3.0,3.0,1.0,1.0,3.0,2.0,no,3.0,"✅ Trip Verified |  This American Airlines Admirals Club lounge was very basic with limited food and drink options, plenty of different seating areas but it was a real let down and not worth using in my opinion. I expected more but would advise just sitting in main terminal and paying for some food, I am surprised this is an American Airlines Lounge but they must be easily pleased. Would not bother using or even go to the bother of finding the lounge. If you just want a drink and a cracker then you will love it. Total waste of time,"
28,,London Heathrow Airport,Business Class,December 2019,Business,3.0,2.0,3.0,2.0,2.0,4.0,yes,5.0,"✅ Trip Verified |  I used the Terminal 5 North Lounge as I find this lounge less busy. Plenty of seats today so no problems for me. Food was very hit and miss, some strange bread Rolls with Bacon, they were heavily seeded and strange, not to my liking what is wrong with plain?  Plenty of hot, cold and soft drinks as well as the usual alcohol.  Today's use of lounge was fine a bit busier as the morning went on, toilets needed cleaning."
29,,New York JFK Airport,Business Class,December 2019,Business,3.0,3.0,3.0,1.0,1.0,1.0,yes,3.0,"✅ Trip Verified |  The lounge is divided into business and first and has been renovated. Late evening the Club World lounge was quiet. Plentiful seating, decent selection of drinks. I found the F & B is nowhere near the standards of AA with their Flagship lounge or other One World ones I most often use. Maybe it was later in the evening but quality felt lacking. The ambience was very flat. Terminal 7 at JFK is the BA terminal and whilst great for BA and its One World partners to have its own space, its a very tired terminal. Washrooms are still the same cramped space and the showers clearly have not been renovated."
30,Galleries First lounge,London Heathrow Airport,First Class,November 2019,,4.0,5.0,5.0,5.0,4.0,5.0,yes,5.0,✅ Trip Verified |  The Galleries First lounge at Heathrow was beautiful and calm. Place to relax or work a bit between your flights. Excellent service all over. Nothing much more you can ask for even with a first class ticket price.
31,Concorde lounge,London Heathrow Airport,First Class,November 2019,,5.0,5.0,5.0,5.0,3.0,5.0,yes,5.0,✅ Trip Verified |  The Concorde Lounge is a place to relax and a place to eat. Superb service and good space. You can sit inside the lounge or the area outside above the departure hall if you like some more buzz. Nice dining area and good food. Only downside is there are a little short of bathrooms.
32,Galleries,Johannesburg Airport,Business Class,December 2019,Business,4.0,4.0,4.0,4.0,4.0,4.0,yes,4.0,"✅ Trip Verified |  The Club World and First Galleries Lounge at Johannesburg has been the subject of much needed refurbishment and reflects a new harmonised policy for housing both classes under one roof without as overt a distinction as before. To be honest, the previous First lounge was something of an embarrassment, with too few seats and general feeling of being cramped. The new arrangement eschews a separate First lounge but allocates a separate First dining area. This seems to work reasonably well. The rest of the lounge is by no means spacious but there are adequate seats to accommodation the Club and First passengers on the two evening flights to LHR. The food seems to substantially better than before, with regular refreshes of both hot and cold food. The bar area is spacious as bar areas go and service was good. Overall, the new Galleries Lounge is a definite improvement for Club passengers; First passengers may not agree, of course."
33,British Airways Lounge,Singapore Changi Airport,Frequent Flyer,October 2019,,4.0,4.0,4.0,4.0,3.0,4.0,yes,4.0,"✅ Trip Verified |  After a subpar visit to the Qantas Lounge next door, my partner and I decided to give the British Airways Lounge a go. It was a completely different experience, a much better one in my opinion. The space had such character with striking decors along with a great layout for dining, work and relaxation. The catering was fantastic with plenty of options for food and beverages with plenty of comfortable seating to enjoy it. Customer service was average, lounge team were present and making sure food was plentiful plus consistently tidying but lack face to face service. Shower facilities were adequate but lacked in numbers. Overall, a great visit as I would definitely pick this lounge over the Qantas and third party offerings."
34,,London Heathrow Airport,Business Class,October 2019,Business,3.0,4.0,5.0,5.0,5.0,5.0,yes,5.0,"✅ Trip Verified |  Main Galleries Lounge in Terminal 5 at Heathrow was very busy. Food options were very good and plentiful. The main Lounge A-Gates, as usual, were very busy, not helped when some of the U shaped seating areas have massive square tables making it difficult for people to get seated (very bad design) We had a C-Gate departure so left the lounge and went to the quieter Lounge in the B-gate area which I would always recommend people to do."
35,,Washington Dulles Airport,Business Class,September 2019,Business,3.0,1.0,3.0,1.0,2.0,2.0,no,4.0,"✅ Trip Verified |  Cathay Pacific uses this lounge for their Washington flights to HKG. The lounge is nice but most sections were shut as it is 11pm at night. There was no hot food apart from soup and there are  sandwiches on offer and lots of fresh fruit. The usual tea and coffee and white and red wine plus a few beers.  If you plan to dine before you fly so you can catch maximum sleep on the plane, don't plan on doing it in this lounge which is miserable. The toilets were not clean with paper towels everywhere. The staff were pleasant enough. CX needs to do something about their lounge access in IAD."
36,,Newark Airport,Business Class,August 2019,Business,4.0,5.0,4.0,5.0,5.0,5.0,yes,4.0,"Not Verified |  The BA lounge at Newark Airport is very nicely appointed with good food (the steak and ale pie on offer that evening was delicious) and plenty of seating throughout. The female toilets were also spotlessly clean and tidy. I was very happy to see Rosa there again, this staff member and all the team work very hard to keep customers happy."
37,,London Heathrow Airport,Business Class,July 2019,Business,3.0,4.0,4.0,3.0,,4.0,yes,4.0,"✅ Trip Verified |  I used the business lounge ""south"" on Heathrow T5 and as usual it was rather busy. Plenty of newspapers , magazines and books available to read and decent internet. There is plenty of food, pastries and chocolates, fruits and yoghurts. Also bread filled with bacon, however no cheese or ham available - jams and marmalade out of big tins. Ample choice of teas and coffee. Also - despite it was rather early - lots of wines and alcoholic beverages (even better brands like Grey Goose) and sodas. There is a lot to eat and to drink, only a shame the food is not refined."
38,Club lounge,Bermuda Airport,Business Class,June 2019,Business,3.0,4.0,3.0,1.0,4.0,2.0,no,3.0,"✅ Trip Verified |  Really looking forward to the New Airport opening. The old lounge is very odd, at least you no longer have to ring the bell to get in but you do have to knock on the door. It is rather small and the offerings are miserable just a few sandwiches on a plate( total 12 cut quarters at a time) a selection of cheese, crisps and some fruit, a strange man (always the same one) who wanders around and refills. you have a selection of drinks and a few TV screens. Not what you expect from a Club Lounge but it has always been the same. Toilets ok, again limited, Roll on 2020."
39,Club World Lounge,London Gatwick Airport,Business Class,June 2019,Business,5.0,5.0,5.0,5.0,5.0,5.0,yes,5.0,"✅ Trip Verified |  Plenty of space and lots of seats to choose at the Gatwick Club World Lounge, the food selections (it was lunchtime 12:30) were very good. Not the usual finger treats and a few sandwiches but a good selection of Chilli meatballs, chicken stew with beans, baked potatoes, rice (cooked very well) and the sandwiches and nibbles. I was absolutely full and thoroughly enjoyed my stay ion the lounge. Toilets and showers were all clean and tidy. For once a very pleasant stay. WiFi worked well."
40,,Atlanta Hartsfield Airport,Business Class,June 2019,Business,3.0,2.0,3.0,1.0,3.0,3.0,no,4.0,"✅ Trip Verified |  BA Business Class passengers share a lounge with Priority Pass customers and several other airlines. The lounge itself was extremely busy but there's a cordoned off area at one end for BA passengers which is dark and cramped. However, when we arrived two hours before our flight there were no seats. We had to wait until other passengers left. The food was poor - a couple of types of wrap and some crispy egg sandwiches on rye plus soup and a tired tray of salad ingredients. We discovered subsequently that the food in the main area was fresher - probably due to the high number of people.The only nibbles were wasabi peas, stale pretzels and a variety of different sweets. There's a bar in the main area but the wine wasn't properly chilled. The free wifi was open but quick. We were extremely disappointed with this lounge as Atlanta is a major hub and we were hoping to get dinner there so we could sleep on our flight."
41,Air Lounge Vienna,Vienna Airport,Business Class,December 2018,Business,1.0,2.0,2.0,1.0,2.0,1.0,yes,,"✅ Trip Verified |  This is not a British Airways lounge but a third party Airport Lounge that BA uses for their passengers. The lounge is small, full of people and not comfortable at all. There was almost not food and just drinks however selection of drinks was really poor. Overwhelming noisy making impossible to relax before a flight. Staff was rude, useless and they were clearly upset as we don't speak German and had to talk to us in English."
42,T3,London Heathrow Airport,Business Class,January 2019,Business,1.0,1.0,2.0,1.0,,,no,4.0,✅ Trip Verified |  Appalling lounge in Terminal 3. Food mediocre at best  and no gluten free options. Not enough easy chairs so had to sit on a stool. Dreary and depressing decor. Will try a different airline.
43,,Boston Logan Airport,Frequent Flyer,December 2018,,5.0,5.0,5.0,5.0,5.0,5.0,yes,5.0,"✅ Trip Verified |  This lounge opened at Logan last year after a bit of a revamp of Terminal E. It caters for First, Business and Silver/ Gold passengers (I accessed using the latter). Despite flying on the first evening service of the day, the lounge wasn't busy, and it's very spacious. There's a view of the apron from the far end with large windows and bar style seating next to them. Near the entrance is the usual self service bar and snacks, similar to the BA Galleries lounges in Heathrow and Gatwick. Down the far end, however, is a full service bar. The staff there were fantastic, and constantly brought me over another drink as soon as they saw my glass was empty. Pre flight dining is available from 5pm from a buffet, which had a good selection and the food was nice. There's also a Concorde dining area for F passengers. The real bonus with this lounge is that you board the aircraft directly from the lounge, which is positioned above the boarding gate. The staff were all fantastic, so friendly and obliging. This is quite possibly the best BA lounge I've experienced - I'd easily rate it above the flagship Concorde Room! It's that good!"
44,Galleries First,Johannesburg Airport,First Class,December 2018,,3.0,4.0,3.0,3.0,3.0,3.0,yes,3.0,"✅ Trip Verified |  The Galleries First lounge is little more than a corridor next to the Club World lounge. There are adequate seats for the small number of BA flights leaving JNB at night. Food is self-service and includes a fair selection of hot and cold options. Drinks are limited in choice and champagne is Larssen rather than Laurent Perrier. Unfortunately, because of the compact size of the space, loud transatlantic smartphone conversations can easily disturb the peace."
45,,London Heathrow Airport,Business Class,November 2018,Business,,,,,,,no,,"✅ Trip Verified |  Approached staff to ask if it would be possible to use the lounge for an hour prior to my connecting flight to Scotland after travelling from the US. I understood that I would be potentially charged, but nevertheless asked if I could use it for free. I was  turned away and not even offered any use of the facilities even if I had to pay. I think that this is absolutely disgusting, considering the respect and gratitude offered and given to me by American Airlines, including speedy boarding given to military. "
46,Menzies Aurora Lounge,Stockholm Arlanda Airport,Business Class,November 2018,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,3.0,✅ Trip Verified |  Menzies Aurora Lounge used by British Airways. One word: Worthless. Could be a hotel foyer or something. Not what you expect with a business class fares!
47,,London Gatwick Airport,First Class,November 2018,,3.0,2.0,2.0,3.0,1.0,3.0,yes,3.0,"✅ Trip Verified |  Very attentive staff but the lounge needs a touch up badly. Furniture looks like it's from the 80th. Selection of drinks, food and coffee was quite average. Had breakfast before a flight and the scrambled eggs gets 5 stars! Champagne served was really mediocre and not first class standard. But not having towels in the bathroom makes them like any bathroom in the terminal. They have those awful hand blow dryers. Re-do and do it right British Airways."
48,,New York JFK Airport,Business Class,November 2018,Business,2.0,3.0,2.0,3.0,3.0,3.0,no,1.0,"✅ Trip Verified |  The lounge itself is not too bad except for the quality of the light: no natural light and really bad artificial light. The really unacceptable thing is the music level, really too high! And also the music selection, it was all about 80’ hits. This is really far from relaxing or working time. I had to spend 3 hours and I asked at least 4 times to the attendants to do something but without success."
49,,Seattle Airport,Business Class,October 2018,Business,2.0,4.0,2.0,2.0,2.0,3.0,no,4.0,✅ Trip Verified |  As Business Class lounges go this one is pretty poor. For a flight with 72+ Business Class seats there is barely enough space for this many people and certainly not comfortably. It's cramped and faces the evening sun so very warm. The choice of 'food' is very minimal. The bar is served through a hatch with a queue every time for a drink and a limited selection. There are less bathrooms in this lounge than on the aircraft so time your visit carefully.
50,,Singapore Changi Airport,Business Class,September 2018,Business,4.0,4.0,5.0,3.0,,5.0,yes,5.0,"✅ Trip Verified |  The lounge in Changi airport are pretty spacious. Considering that there are consecutively two flights (by 777 and A380) departing to London within 30 minutes, however, the lounge was not as crowded as I expected. There were a wide selection of drinks and alcohol but the choice for food was a bit limited: only three kinds of main dish with pasta and mashed potato. The staff here were nice with great hospitality."
51,Arrival Lounge LHR T5,London Heathrow Airport,Business Class,September 2018,Business,4.0,4.0,5.0,4.0,5.0,2.0,yes,4.0,✅ Trip Verified |  I went to the Heathrow T5 arrival lounge for showering and breakfast after a 14 hours long flight from Singapore. The lounge located right after custom clearance and it's very easy to find. The reception staff were very hospitable but the lady staff in charge of assigning shower rooms was a bit inpatient. The food was nice and there were a lot of choices for breakfast. In general it was a very refreshing experience.
52,T5 South,,Business Class,September 2018,Business,1.0,1.0,2.0,2.0,,,yes,,"✅ Trip Verified |  Lounge feels very cold and impersonal, Not very organised, by the time you find anything it’s time to go. I am sure the staff are wonderful, however, I feel they have to much work not enough workers to keep up. Food unfortunately is nothing special! The Bars are far apart, again nothing to write home about. Also upon entering the lounge I was not told the WIFI password so I will not rate that. Asked if my friend could possibly pay to get in and was told it is an invite (I get it) but what do you pay these extortionate prices for? Maybe get hold of the British airways lounge in Singapore and get some ideas from them and also they are so much more friendly, a nice smile goes along way! I have been asked if I would recommend the airline - airline yes the lounge in London Heathrow “No”"
53,Galleries T5,London Heathrow Airport,Business Class,September 2018,Business,2.0,3.0,5.0,4.0,,3.0,yes,4.0,"✅ Trip Verified |  Absolutely rammed. I used to be Emerald with one world until two years ago when I changed alliances. First Class lounge at Heathrow is probably my favourite in the world, it was hard to make the decision to lose that. I don't think I have been in the business class lounge at T5 for 5 years but it has deteriorated. There were people lying across sofas as one would see in a bus station, the place looked dishevelled, it really looked like a pay to enter lounge. I did not have time to sample the food on offer but BA normally has decent food and the drinks selection was good. BA needs to think about either making more space available for frequent travellers or lifting the number of tier points to achieve Sapphire status because this lounge is simply no longer a pleasant environment to spend any significant period of time."
54,,San Francisco Airport,Business Class,July 2018,Business,4.0,3.0,4.0,2.0,,4.0,no,,"Not Verified |  Used BA's Club and First Lounge. Got there early as 2 BA flights that day about 3 hours apart so was reasonably busy. Found 2 comfortable seats in a quiet corner without any problem. Good choice of beverages - beers, wines and spirits - and had a glass of Prosecco brought to us. Very nice helpful staff who cleared up tables and refreshed the rather limited food options frequently. In common with most North American lounges the food options for Business passengers was limited to 3 types of sandwiches, vegetarian wraps, potato crisps nuts and two types of cheese cut into squares. No hot/cooked choices. Notwithstanding the limited choice of food it was a comfortable and quiet enough place to while away a couple of hours before the flight."
55,Galleries,London Heathrow Airport,Business Class,July 2018,Business,4.0,4.0,5.0,5.0,,4.0,yes,5.0,"Not Verified |  Flew from LHR Saturday 7th July and used the T5 Galleries Lounge (North, I think). Plenty of room, not too crowded and easy to find comfy seats for my wife and I. Actually quite a good choice of hot and cold breakfast food so indulged, and also plenty of drink options both alcoholic and the tea/coffee variety. Lounge got busier as the morning wore on but still very pleasant."
56,British Airways Lounge,Bermuda Airport,Business Class,May 2018,Business,3.0,3.0,2.0,1.0,4.0,1.0,no,4.0,"✅ Trip Verified |  Small lounge with a strange bell you have to ring in the terminal to get someone to let you in, Split into 2 sections one for First Class and one for Club Class. Small lounge with good seating, Very limited offerings, Tea, Coffee soft drinks and Alcohol. Some crisps a very small  selection of sandwiches and some cheese. Really depressing you would expect more especially at the prices we have paid. One member of staff on the desk and one (Male) floor walking but he really didn't want to be doing this or even working at all, If you don't want your job I am sure someone else would love it! Toilets were clean and tidy. Just looking forward to the NEW Terminal opening."
